system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
000000000000000007f5_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f6_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f7_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f8_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f9_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007fa_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007fb_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007fc_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007fd_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007fe_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ff_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000800_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000801_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000802_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000803_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000804_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
00000000000000000805_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
